Company Name,Website,Email,Phone,Services,Tech Stack,Social Links,Address
Itorix Infotech – AI SEO Company in Pune | Digital Marketing Agency | Website Development | GMB Services,https://www.itorixinfotech.com/,info@itorixinfotech.com,"919579335001, 919096456355","Web Development, Website Design, SEO, Digital Marketing, E-commerce Development, Custom Software, AI / Machine Learning, Mobile App Development","WordPress, Ghost, jQuery, Bootstrap, GSAP, Bootstrap CSS, Google Analytics",facebook: https://www.facebook.com/ItorixInfotech/ | instagram: https://www.instagram.com/itorixinfotech/ | linkedin: https://www.linkedin.com/company/itorix-infotech,
"Midbrains Technologies - IT Solutions & Digital marketing Company in Wakad, Pune",https://www.midbrains.in/,info@midbrains.in,919156396168,"Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software, AI / Machine Learning, Data Analytics, QA & Testing","jQuery, Google Analytics, Nginx",instagram: https://www.instagram.com/midbrainstech_official | facebook: https://www.facebook.com/midbrains.in | twitter: https://twitter.com/MidbrainTechno2 | linkedin: https://www.linkedin.com/company/midbrains-technologies/?viewAsMember=true,
Opstech Solution Pvt. Ltd,https://www.opstechsolution.com/,"support@rstheme.com, info@opstechsolution.com, deepak@opstechsolution.com","9130085667, 919130085667, 918482846907, 918806145167","Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software","jQuery, Bootstrap, Bootstrap CSS, Google Analytics, Nginx, Cloudflare",facebook: https://www.facebook.com/Opstechsolution/ | twitter: https://twitter.com/opstechsolution | instagram: https://www.instagram.com/opstechsolution1/ | linkedin: https://www.linkedin.com/in/opstechsolution/,
MPLUSSOFT (एम-प्लससॉफ्ट),https://www.mplussoft.com/,"sales@mplussoft.com, career@mplussoft.com","918459630022, 12342241777, 15148048386, 185683003035, 739066833042","Web Development, Website Design, Mobile App Development, Digital Marketing, E-commerce Development, Custom Software, AI / Machine Learning, IT Consulting, IoT Development, SEO","Bootstrap, Google Analytics, Google Tag Manager, Cloudflare",linkedin: https://www.linkedin.com/company/mplussoft-technologies | facebook: https://www.facebook.com/MplussoftIndia | twitter: https://twitter.com/mplussoft | instagram: https://www.instagram.com/mplussoft_/,
Maxgen Technologies Pvt.Ltd,https://www.maxgentechnologies.com/,info@maxgentechnologies.comphone,"2008026886732, 9099039845, 919099039845, 1213585507","Web Development, Mobile App Development, Cloud Services, AI / Machine Learning, Data Analytics, Website Design, Digital Marketing, E-commerce Development, CMS Development, SEO, Custom Software","Next.js, Google Tag Manager, Facebook Pixel",linkedin: https://www.linkedin.com/company/maxgen-technologies | facebook: https://www.facebook.com/maxgentechnologies | instagram: https://www.instagram.com/maxgen_technologies/,
OMX Technologies - Digital Marketing Agency,https://omxtechnologies.com/,"sales@omxtechnologies.com, hr@omxtechnologies.com","9104999222, 919104999222, 918669422292, 918983401277","Web Development, Website Design, SEO, Digital Marketing, Custom Software","WordPress, Ghost, jQuery",facebook: https://www.facebook.com/OMXTechnologiesPune/ | instagram: https://www.instagram.com/omx_techno | linkedin: https://www.linkedin.com/company/omx-technologies-pvt-ltd/,
Naksh Technologies,https://www.nakshtechnologies.com/,,"1320161450, 918668238570","Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software, AI / Machine Learning, CMS Development","WordPress, Ghost, jQuery, Google Analytics, Facebook Pixel, Cloudflare, ASP.NET",,
Daxta Labs Pvt Ltd - The Poona Marketing Company,https://daxta.tech/,hello@daxta.tech,"7507411666, 8600807861","Mobile App Development, Digital Marketing, Custom Software, Data Analytics","WordPress, Ghost, jQuery, Apache, Cloudflare",facebook: https://www.facebook.com/hidaxta | instagram: https://www.instagram.com/hidaxta/,
Technoartz,https://www.technoartz.com/,,,"Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software, Cloud Services, AI / Machine Learning, IT Consulting, Data Analytics, QA & Testing, IoT Development","jQuery, Bootstrap CSS, Google Analytics, Facebook Pixel, ASP.NET",,
Cybage Software,http://www.cybage.com/,"business@cybage.com, finance_brazil@cybage.com, finance_poland@cybage.com, whistleblower@cybage.com, business@cybage.comcybage, business@cybage.comgandhinagarcybage, intl-tel-input@v17.0.19","918530109729, 16092120308, 16092120309, 14372662040, 496966554126, 810345401346","Web Development, Website Design, Digital Marketing, Custom Software, Cloud Services, AI / Machine Learning, IT Consulting, Game Development, Data Analytics, CMS Development, E-commerce Development, Blockchain","Drupal, Google Tag Manager, Nginx, Cloudflare","linkedin: 
https://www.linkedin.com/build-relation/newsletter-follow?entityUrn=7155177797945044992 | instagram: 
https://www.instagram.com/cybage | twitter: 
https://x.com/Cybagesoftware/highlights | facebook: 
https://www.facebook.com/cybage",
Digitalmeliora Technologies Pvt Ltd,https://digitalmeliora.com/,vikrant@digitalmeliora.com,"1634532804511, 7875544468","Web Development, Website Design, SEO, Digital Marketing, E-commerce Development, Custom Software, Game Development","WordPress, Ghost, jQuery, Google Analytics",facebook: https://www.facebook.com/melioratechnologies | instagram: https://www.instagram.com/digitalmeliora/ | linkedin: https://www.linkedin.com/company/meliora-technologies/ | twitter: https://x.com/Meliora_Tec,
Zainton Technologies,https://zaintontechnologies.com/,"info@zaintontechnologies.com, zaintontechnologies@gmail.com, support@zaintontechnologies.com","919881233932, 9881233932, 4001986686696, 1785842808, 01000000000, 0000000555111, 5123125782702, 1181583404541, 1785847279, 1785847281, 1785847283","Web Development, Website Design, SEO, Digital Marketing, E-commerce Development, Custom Software, Game Development, CMS Development, Mobile App Development","WordPress, Ghost, jQuery, Bootstrap, Bootstrap CSS, Google Analytics, Google Tag Manager, Cloudflare",facebook: https://facebook.com | linkedin: https://linkedin.com,
TIP - Digital Marketing Courses in Pune | Online and Offline Classes,https://traininginstitutepune.in/digital-marketing-classes-pune/,"info@traininginstitutepune.in, info@traininginstitutepune.inenquiry","8007122500, 8007777243, 918007777243, 8007122036, 8007122667, 918007122500, 918007122667","Web Development, Website Design, SEO, Digital Marketing, E-commerce Development, Custom Software, Cloud Services, AI / Machine Learning, Game Development, Data Analytics","WordPress, Ghost, jQuery",facebook: https://www.facebook.com/traininginstitutepune/ | twitter: https://twitter.com/traininginpune | linkedin: https://www.linkedin.com/school/training-institute-pune/ | instagram: https://www.instagram.com/traininginstitutepune?igsh=MTg2cWI4YXVsMHNvNQ==%20,
Awrange Digital Solutions,https://awrange.com/,"careers@awrange.com, hello@awrange.com","9307999777, 919307999777","Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software, Cloud Services, Game Development, CMS Development","WordPress, Ghost, jQuery, Google Analytics, Google Tag Manager, Facebook Pixel, Nginx, Cloudflare, Node.js",linkedin: https://www.linkedin.com/company/awrange/ | instagram: https://www.instagram.com/awrangedigital?igsh=bDRoc3djNzdlbmNs | facebook: https://www.facebook.com/AwrangeDigital/ | twitter: https://twitter.com/AwrangeDigital,
IVS Digital Solution Pvt. Ltd,https://ivssoftware.com/,"info@ivssoftware.com, uae@ivssoftware.com, admin@emea.co.in, info@ivssoftware.comcommunication, info@ivssoftware.comdubai, uae@ivssoftware.comsydney, info@ivssoftware.comget","9579956381, 8818766334760, 8206280267, 918888872780, 919579956381, 89908075108, 0421422722","Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software, Game Development","WordPress, jQuery, Google Analytics, Google Tag Manager",linkedin: https://www.linkedin.com/company/ivssoftware/ | facebook: https://www.facebook.com/ivisionsoft/ | instagram: https://www.instagram.com/ivs_software/,
Zenture IT Solutions,https://zenture.in/,,,,,,
Codiastic Soft Pvt Ltd,https://www.codiasticsoft.com/,"74955info@codiasticsoft.comquick, info@codiasticsoft.com, tickets@codiasticsoft.p.tawk.email, 411030emailinfo@codiasticsoft.comcall, ticketstickets@codiasticsoft.p.tawk.emailoffice",919284874955,"Web Development, Website Design, Mobile App Development, SEO, Digital Marketing, E-commerce Development, Custom Software, AI / Machine Learning, Data Analytics, Game Development",Next.js,facebook: https://www.facebook.com/codiasticsoft/ | instagram: https://www.instagram.com/codiasticsoft/?hl=en | twitter: https://x.com/Codiastic_Soft | linkedin: https://www.linkedin.com/in/codiastic-soft-89b899236/,
Websoft Techno - Digital Marketing Agency | App & Website Development | Branding Solutions,https://www.websofttechno.com/,,,,,,
itsdigital,https://itsdigital.in/,,,,,,
Imperium Official/ Office | Tech Solutions | SAAS |Media & Marketing Solutions(Digital Marketing),https://imperiumofficial.in/,imperiumofficialgroup@gmail.com,,"Mobile App Development, Digital Marketing, Custom Software, AI / Machine Learning, Web Development, Website Design, SEO, Game Development","Tailwind CSS, Google Analytics, Cloudflare",instagram: https://www.instagram.com/imperiumofficial_services | linkedin: https://linkedin.com/company/imperiumofficial | facebook: https://www.facebook.com/share/18awx6wL9P/ | twitter: https://x.com/imperiumoffx,
